ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2616699,A,Elaeocarpaceae,,Aceratium,,"angustifolium",,"","A.C.Sm.",Synonym,,M,WCSP (in review),,323867-1,"J. Arnold Arbor.","25: 115","","1944",kew-2616724
kew-2616700,A,Elaeocarpaceae,,Aceratium,,"archboldianum",,"","A.C.Sm.",Accepted,,M,WCSP (in review),,323868-1,"J. Arnold Arbor.","25: 119","","1944",
kew-2616701,A,Elaeocarpaceae,,Aceratium,,"braithwaitei",,"","(F.Muell.) Schltr.",Accepted,,M,WCSP (in review),,323869-1,"Bot. Jahrb. Syst.","54: 103","","1916",
kew-2616702,A,Elaeocarpaceae,,Aceratium,,"branderhorstii",,"","Schltr.",Synonym,,M,WCSP (in review),,323870-1,"Bot. Jahrb. Syst.","54: 102","","1916",kew-2616724
kew-2616703,A,Elaeocarpaceae,,Aceratium,,"brassii",,"","A.C.Sm.",Accepted,,M,WCSP (in review),,323872-1,"J. Arnold Arbor.","25: 114","","1944",
kew-2616704,A,Elaeocarpaceae,,Aceratium,,"breviflorum",,"","Schltr.",Synonym,,M,WCSP (in review),,323873-1,"Bot. Jahrb. Syst.","54: 105","","1916",kew-2616727
kew-2616705,A,Elaeocarpaceae,,Aceratium,,"calomala",,"","Blanco",Accepted,,M,WCSP (in review),,833215-1,"Fl. Filip., ed. 2","306","","1845",
kew-2616706,A,Elaeocarpaceae,,Aceratium,,"clemensiae",,"","A.C.Sm.",Synonym,,M,WCSP (in review),,323874-1,"J. Arnold Arbor.","25: 116","","1944",kew-2616726
kew-2616707,A,Elaeocarpaceae,,Aceratium,,"concinnum",,"","(S.Moore) C.T.White",Accepted,,M,WCSP (in review),,323875-1,"Bull. Misc. Inform. Kew","1932: 42","","1932",
kew-2616708,A,Elaeocarpaceae,,Aceratium,,"cryptocaryifolium",,"","Kaneh. & Hatus.",Synonym,,M,WCSP (in review),,323876-1,"Bot. Mag. (Tokyo)","56: 308","","1942",kew-2616727
kew-2616709,A,Elaeocarpaceae,,Aceratium,,"dasyphyllum",,"","A.C.Sm.",Accepted,,M,WCSP (in review),,323877-1,"J. Arnold Arbor.","25: 117","","1944",
kew-2616710,A,Elaeocarpaceae,,Aceratium,,"doggrellii",,"","C.T.White",Accepted,,M,WCSP (in review),,323878-1,"Bull. Misc. Inform. Kew","1932: 42","","1932",
kew-2616711,A,Elaeocarpaceae,,Aceratium,,"dolichostylum",,"","Schltr.",Synonym,,M,WCSP (in review),,323879-1,"Bot. Jahrb. Syst.","54: 104","","1916",kew-2616717
kew-2616712,A,Elaeocarpaceae,,Aceratium,,"erythrocarpum",,"","A.C.Sm.",Synonym,,M,WCSP (in review),,323880-1,"J. Arnold Arbor.","25: 111","","1944",kew-2616731
kew-2616713,A,Elaeocarpaceae,,Aceratium,,"ferrugineum",,"","C.T.White",Accepted,,M,WCSP (in review),,323881-1,"Bull. Misc. Inform. Kew","1932: 43","","1932",
kew-2616714,A,Elaeocarpaceae,,Aceratium,,"gracile",,"","A.C.Sm.",Synonym,,M,WCSP (in review),,323882-1,"J. Arnold Arbor.","25: 115","","1944",kew-2616724
kew-2616715,A,Elaeocarpaceae,,Aceratium,,"hypoleucum",,"","Kaneh. & Hatus.",Accepted,,M,WCSP (in review),,323883-1,"Bot. Mag. (Tokyo)","56: 310","","1942",
kew-2616716,A,Elaeocarpaceae,,Aceratium,,"insulare",,"","A.C.Sm.",Synonym,,M,WCSP (in review),,323884-1,"J. Arnold Arbor.","25: 118","","1944",kew-2616724
kew-2616717,A,Elaeocarpaceae,,Aceratium,,"ledermannii",,"","Schltr.",Accepted,,M,WCSP (in review),,323885-1,"Bot. Jahrb. Syst.","54: 103","","1916",
kew-2616718,A,Elaeocarpaceae,,Aceratium,,"megalospermum",,"","(F.Muell.) Balgooy",Accepted,,M,WCSP (in review),,,"Blumea","12: 74","","1963",
kew-2616719,A,Elaeocarpaceae,,Aceratium,,"megalospermum",var.,"coriaceum","Balgooy",Synonym,,L,WCSP (in review),,,"Blumea","12: 74","","1964",kew-2616718
kew-2616720,A,Elaeocarpaceae,,Aceratium,,"molle",,"","Schltr.",Synonym,,M,WCSP (in review),,323887-1,"Bot. Jahrb. Syst.","54: 107","","1916",kew-2616725
kew-2616721,A,Elaeocarpaceae,,Aceratium,,"muellerianum",,"","Schltr.",Accepted,,M,WCSP (in review),,323888-1,"Bot. Jahrb. Syst.","54: 107","","1916",
kew-2616722,A,Elaeocarpaceae,,Aceratium,,"obtusidens",,"","Schltr.",Synonym,,M,WCSP (in review),,323889-1,"Bot. Jahrb. Syst.","54: 104","","1916",kew-2616721
kew-2616723,A,Elaeocarpaceae,,Aceratium,,"ochraceum",,"","(Ridl.) Schltr.",Synonym,,M,WCSP (in review),,323890-1,"Bot. Jahrb. Syst.","55: 194","","1918",kew-2616721
kew-2616724,A,Elaeocarpaceae,,Aceratium,,"oppositifolium",,"","DC.",Accepted,,M,WCSP (in review),,833216-1,"Prodr.","1: 519","","1824",
kew-2616725,A,Elaeocarpaceae,,Aceratium,,"pachypetalum",,"","Schltr.",Accepted,,M,WCSP (in review),,323891-1,"Bot. Jahrb. Syst.","54: 107","","1916",
kew-2616726,A,Elaeocarpaceae,,Aceratium,,"parvifolium",,"","Schltr.",Accepted,,M,WCSP (in review),,323893-1,"Bot. Jahrb. Syst.","54: 102","","1916",
kew-2616727,A,Elaeocarpaceae,,Aceratium,,"pittosporoides",,"","Schltr.",Accepted,,M,WCSP (in review),,323895-1,"Bot. Jahrb. Syst.","54: 105","","1916",
kew-2616728,A,Elaeocarpaceae,,Aceratium,,"sericeum",,"","A.C.Sm.",Accepted,,M,WCSP (in review),,323896-1,"J. Arnold Arbor.","25: 113","","1944",
kew-2616729,A,Elaeocarpaceae,,Aceratium,,"sericoleopsis",,"","Balgooy",Accepted,,M,WCSP (in review),,,"Blumea","12: 72","","1963",
kew-2616730,A,Elaeocarpaceae,,Aceratium,,"sinuatum",,"","Coode",Accepted,,M,WCSP (in review),,323898-1,"Brunonia","1: 145","","1978",
kew-2616731,A,Elaeocarpaceae,,Aceratium,,"sphaerocarpum",,"","Kaneh. & Hatus.",Accepted,,M,WCSP (in review),,323899-1,"Bot. Mag. (Tokyo)","56: 311","","1942",
kew-2616732,A,Elaeocarpaceae,,Aceratium,,"tomentosum",,"","Coode",Accepted,,M,WCSP (in review),,323900-1,"Brunonia","1: 148","","1978",
kew-2616733,A,Elaeocarpaceae,,Aceratium,,"versteegii",,"","Schltr.",Synonym,,M,WCSP (in review),,323901-1,"Bot. Jahrb. Syst.","54: 103","","1916",kew-2616724
kew-2616734,A,Elaeocarpaceae,,Aceratium,,"warenense",,"","Kaneh. & Matusima",Synonym,,M,WCSP (in review),,,"Bot. Mag. (Tokyo)","56: 312","","1942",kew-2616724
﻿ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-35102221,B,Amblystegiaceae,,Acrocladium,,"auriculatum",,"","(Mont.) Mitt.",Accepted,,M,TRO,35102221,,"J. Linn. Soc., Bot.","12: 532","532","1869",
tro-35102222,B,Amblystegiaceae,,Acrocladium,,"chlamydophyllum",,"","(Hook. f. & Wilson) Müll. Hal. & Broth.",Accepted,,M,TRO,35102222,,"Abh. Naturwiss. Vereine Bremen","16(3): 507","507","1900",
tro-35102223,B,Amblystegiaceae,,Acrocladium,,"cordifolium",,"","(Hedw.) P.W. Richards & E.C. Wallace",Accepted,,M,TRO,35102223,,"Trans. Brit. Bryol. Soc.","1(4): xxv","xxv","1950",
tro-35102224,B,Amblystegiaceae,,Acrocladium,,"cuspidatum",,"","(Hedw.) Lindb.",Accepted,,M,TRO,35102224,,"Musci Scand.","39","39","1879",
tro-35102225,B,Hypnaceae,,Acrocladium,,"cuspidatum",var.,"angustissimum","Mönk.",Synonym,,L,TRO,35102225,,"Hedwigia","44: 191","191","1905",tro-35153510
tro-35102230,B,Hypnaceae,,Acrocladium,,"cuspidatum",var.,"majus","Podp.",Synonym,,L,TRO,35102230,,"Sborn. Klubu PYír. v Brnĕ","5. 21","5","1923",tro-35153515
tro-35204001,B,Hypnaceae,,Acrocladium,,"cuspidatum",f.,"molle","(H. Klinggr.) Wheld.",Synonym,,L,TRO,35204001,,"Lancashire Cheshire Naturalist","17: 6","6","1924",tro-35153516
tro-35204004,B,Hypnaceae,,Acrocladium,,"cuspidatum",f.,"pungens","(Schimp.) C.E.O. Jensen",Synonym,,L,TRO,35204004,,"Danmarks Mosser","2: 94","94","1923",tro-35153518
tro-35102237,B,Amblystegiaceae,,Acrocladium,,"cuspidatum",var.,"reptans","(Warnst.) Jaap",Synonym,,L,TRO,35102237,,"Verh. Bot. Vereins Prov. Brandenburg","43: 71","71","1901",tro-35204006
tro-35204006,B,Amblystegiaceae,,Acrocladium,,"cuspidatum",f.,"reptans","(Warnst.) C.E.O. Jensen",Accepted,,L,TRO,35204006,,"Skand. Bladmossfl.","497","497","1939",
tro-35102241,B,Amblystegiaceae,,Acrocladium,,"cuspidatum",var.,"turgescens","Wheld.",Synonym,,L,TRO,35102241,,"Lancashire Cheshire Naturalist","17: 8","8","1924",tro-35153399
tro-35102244,B,Amblystegiaceae,,Acrocladium,,"draytonii",,"","(Sull.) Broth.",Accepted,,M,TRO,35102244,,"Index Bryol. (ed. 2)","5: 145","145","1906",
tro-35102246,B,Plagiotheciaceae,,Acrocladium,,"eudorae",,"","(Sull.) Müll. Hal. & Broth.",Synonym,,M,TRO,35102246,,"Abh. Naturwiss. Vereine Bremen","16(3): 507","507","1900",tro-35102213
tro-35102247,B,Amblystegiaceae,,Acrocladium,,"giganteum",,"","(Schimp.) P.W. Richards & E.C. Wallace",Accepted,,M,TRO,35102247,,"Trans. Brit. Bryol. Soc.","1(4): xxv","xxv","1950",
tro-35102248,B,Catagoniaceae,,Acrocladium,,"gracile",,"","Besch.",Synonym,,M,TRO,35102248,,"Bull. Soc. Bot. France","48: 15","15","1901",tro-35156898
tro-35102249,B,Hylocomiaceae,,Acrocladium,,"morenoi",,"","Dusén",Synonym,,M,TRO,35102249,,"Rep. Princeton Univ. Exp. Patagonia, Botany","8(3): 117","117","1903",tro-35124816
tro-35102250,B,Catagoniaceae,,Acrocladium,,"mucronatum",,"","A. Jaeger",Synonym,,M,TRO,35102250,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1876–77: 443","443","1878",tro-35156899
tro-35102253,B,Catagoniaceae,,Acrocladium,,"politum",,"","(Hook. f. & Wilson) Mitt.",Synonym,,M,TRO,35102253,,"J. Linn. Soc., Bot.","12: 531","531","1869",tro-35156903
tro-35102254,B,Amblystegiaceae,,Acrocladium,,"sarmentosum",,"","(Wahlenb.) P.W. Richards & E.C. Wallace",Synonym,,M,TRO,35102254,,"Trans. Brit. Bryol. Soc.","1(4): xxv","xxv","1950",tro-35153469
tro-35102255,B,Amblystegiaceae,,Acrocladium,,"sarmentosum",var.,"fontinaloides","(Berggr.) Alb. E. Wade",Unresolved,,L,TRO,35102255,,"Bryologist","57: 227","227","1954",
tro-35102256,B,Amblystegiaceae,,Acrocladium,,"stramineum",,"","(Dicks. ex Brid.) P.W. Richards & E.C. Wallace",Synonym,,M,TRO,35102256,,"Trans. Brit. Bryol. Soc.","1(4): xxv","xxv","1950",tro-35153479
tro-35102257,B,Amblystegiaceae,,Acrocladium,,"trichocladium",,"","Bosw.",Accepted,,M,TRO,35102257,,"J. Bot.","30: 99","99","1892",
tro-35102258,B,Amblystegiaceae,,Acrocladium,,"trifarium",,"","(F. Weber & D. Mohr) P.W. Richards & E.C. Wallace",Accepted,,M,TRO,35102258,,"Trans. Brit. Bryol. Soc.","1(4): xxv","xxv","1950",
﻿ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2621629,A,Elaeocarpaceae,,Adenobasium,,"obtusifolium",,"","Moric.",Synonym,,M,WCSP (in review),,,"Pl. Nouv. Amér.","83","","1840",kew-2592280
kew-2621630,A,Elaeocarpaceae,,Adenobasium,,"salicifolium",,"","C.Presl",Unresolved,,L,WCSP (in review),,833226-1,"Symb. Bot.","1: 40","","1831",
﻿ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-35190868,B,Jungermanniaceae,,Alicularia,,"biloba",,"","Horik.",Accepted,,M,TRO,35190868,,"J. Sci. Hiroshima Univ., Ser. B, Div. 2, Bot.","1: 77. f. 1; pl. 10: 7–14","77","1932",
